timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559778255869,18041,página,200,OK,Usuarios esperados 1-49,text,true,,433534,119,50,50,https://www.youtube.com/,3563,0,2527
1559778266618,7292,vídeo,200,OK,Usuarios esperados 1-9,text,true,,216737,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1521,0,1213
1559778261483,12431,página,200,OK,Usuarios esperados 1-10,text,true,,429246,119,50,50,https://www.youtube.com/,993,0,639
1559778259435,14487,página,200,OK,Usuarios esperados 1-39,text,true,,470360,119,50,50,https://www.youtube.com/,3025,0,2528
1559778249315,24852,página,200,OK,Usuarios esperados 1-19,text,true,,442568,119,50,50,https://www.youtube.com/,5451,0,5167
1559778269793,4968,vídeo,200,OK,Usuarios esperados 1-7,text,true,,217709,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,941,0,819
1559778262477,12569,página,200,OK,Usuarios esperados 1-42,text,true,,414111,119,50,50,https://www.youtube.com/,4739,0,4145
1559778265238,10075,vídeo,200,OK,Usuarios esperados 1-50,text,true,,214100,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,2277,0,844
1559778247645,27669,página,200,OK,Usuarios esperados 1-15,text,true,,453950,119,50,50,https://www.youtube.com/,14815,0,14304
1559778262205,13646,página,200,OK,Usuarios esperados 1-22,text,true,,402903,119,50,50,https://www.youtube.com/,3115,0,1993
1559778248835,27025,página,200,OK,Usuarios esperados 1-16,text,true,,473582,119,50,50,https://www.youtube.com/,2632,0,2338
1559778263869,11993,vídeo,200,OK,Usuarios esperados 1-37,text,true,,213946,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1652,0,1351
1559778261399,14468,página,200,OK,Usuarios esperados 1-34,text,true,,406319,119,50,50,https://www.youtube.com/,2464,0,1892
1559778252551,23316,vídeo,200,OK,Usuarios esperados 1-45,text,true,,214594,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,3895,0,3563
1559778269306,6832,página,200,OK,Usuarios esperados 1-29,text,true,,410502,119,50,50,https://www.youtube.com/,958,0,848
1559778270971,5170,vídeo,200,OK,Usuarios esperados 1-12,text,true,,215309,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1773,0,1567
1559778257168,19240,página,200,OK,Usuarios esperados 1-14,text,true,,441348,119,50,50,https://www.youtube.com/,3083,0,2362
1559778272382,4034,vídeo,200,OK,Usuarios esperados 1-27,text,true,,214697,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1221,0,878
1559778268921,8003,página,200,OK,Usuarios esperados 1-2,text,true,,429896,119,50,50,https://www.youtube.com/,2215,0,1403
1559778249566,27887,página,200,OK,Usuarios esperados 1-35,text,true,,429302,119,50,50,https://www.youtube.com/,3816,0,3531
1559778271998,5735,vídeo,200,OK,Usuarios esperados 1-21,text,true,,214131,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1605,0,1355
1559778261397,16619,página,200,OK,Usuarios esperados 1-26,text,true,,449332,119,50,50,https://www.youtube.com/,1620,0,830
1559778273900,4388,vídeo,200,OK,Usuarios esperados 1-10,text,true,,217121,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1424,0,858
1559778273908,4636,vídeo,200,OK,Usuarios esperados 1-39,text,true,,215731,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1914,0,850
1559778270255,8972,página,200,OK,Usuarios esperados 1-4,text,true,,385658,119,50,50,https://www.youtube.com/,699,0,597
1559778273585,6120,vídeo,200,OK,Usuarios esperados 1-48,text,true,,214521,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,2140,0,1040
1559778252564,27547,vídeo,200,OK,Usuarios esperados 1-18,text,true,,218476,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,3878,0,3546
1559778261110,19069,página,200,OK,Usuarios esperados 1-36,text,true,,432997,119,50,50,https://www.youtube.com/,899,0,749
1559778268146,13150,página,200,OK,Usuarios esperados 1-31,text,true,,382163,119,50,50,https://www.youtube.com/,4382,0,4112
1559778275032,6257,vídeo,200,OK,Usuarios esperados 1-42,text,true,,216339,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,2074,0,1881
1559778274152,7398,vídeo,200,OK,Usuarios esperados 1-19,text,true,,217658,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,3031,0,2662
1559778272005,9570,página,200,OK,Usuarios esperados 1-32,text,true,,366169,119,50,50,https://www.youtube.com/,2073,0,1349
1559778258108,24395,página,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host closed connection during handshake,Usuarios esperados 1-38,text,false,,2639,0,50,50,https://www.youtube.com/,0,0,24395
1559778261409,21352,página,200,OK,Usuarios esperados 1-6,text,true,,441331,119,50,50,https://www.youtube.com/,2460,0,1637
1559778271187,11844,vídeo,200,OK,Usuarios esperados 1-20,text,true,,216729,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1552,0,1351
1559778275845,7177,vídeo,200,OK,Usuarios esperados 1-16,text,true,,218180,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1881,0,1535
1559778273587,9699,vídeo,200,OK,Usuarios esperados 1-46,text,true,,214923,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1010,0,898
1559778275299,7988,vídeo,200,OK,Usuarios esperados 1-15,text,true,,217228,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,4078,0,3792
1559778263293,20013,página,200,OK,Usuarios esperados 1-11,text,true,,382184,119,50,50,https://www.youtube.com/,6471,0,6186
1559778266083,17471,página,200,OK,Usuarios esperados 1-33,text,true,,437688,119,50,50,https://www.youtube.com/,3134,0,2330
1559778262224,21333,página,200,OK,Usuarios esperados 1-40,text,true,,429785,119,50,50,https://www.youtube.com/,1825,0,1648
1559778273895,10179,vídeo,200,OK,Usuarios esperados 1-49,text,true,,214697,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1405,0,861
1559778273329,11022,vídeo,200,OK,Usuarios esperados 1-13,text,true,,217722,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1219,0,1107
1559778281297,3084,vídeo,200,OK,Usuarios esperados 1-31,text,true,,214013,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1133,0,1026
1559778275854,9813,página,200,OK,Usuarios esperados 1-45,text,true,,334765,119,50,50,https://www.youtube.com/,4058,0,1585
1559778273885,12039,vídeo,200,OK,Usuarios esperados 1-47,text,true,,214646,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,5101,0,4397
1559778272820,13941,página,200,OK,Usuarios esperados 1-5,text,true,,407204,119,50,50,https://www.youtube.com/,3482,0,2478
1559778280179,6850,vídeo,200,OK,Usuarios esperados 1-36,text,true,,216876,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,3124,0,2665
1559778262306,24739,página,200,OK,Usuarios esperados 1-1,text,true,,386983,119,50,50,https://www.youtube.com/,8014,0,7479
1559778275837,11281,vídeo,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host closed connection during handshake,Usuarios esperados 1-22,text,false,,2639,0,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,0,0,11281
1559778270849,16435,página,200,OK,Usuarios esperados 1-24,text,true,,462381,119,50,50,https://www.youtube.com/,3047,0,2483
1559778265228,22058,página,200,OK,Usuarios esperados 1-25,text,true,,402994,119,50,50,https://www.youtube.com/,12226,0,11499
1559778275852,11454,vídeo,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host closed connection during handshake,Usuarios esperados 1-34,text,false,,2639,0,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,0,0,11454
